	count
((1, ('P4', 'm6')), (-3, ('M2', 'P4', 'M6')))	1
((-6, ('M3', 'M6')), (1, ('M3', 'd5', 'm7')))	1
((-6, ('M3', 'M6')), (-5, ('M3', 'P5')))	1
((3, ('M3', 'P5')), (5, ('m2', 'd5')))	1
((2, ('P4', 'P5')), (4, ('m3', 'm6')))	1
((0, ('m3', 'P5')), (4, ('m3', 'M6')))	1
((0, ('M3', 'M6')), (0, ('M3', 'a4', 'a6')))	1
((-4, ('M3', 'M6', 'm7')), (-5, ('M3', 'P5')))	1
((5, ('m3', 'm6')), (10, ('m3', 'd5', 'd7')))	1
((3, ('m3', 'm6')), (10, ('m3', 'd7')))	1
((1, ('m3', 'P5', 'm7')), (8, ('m3', 'm6')))	1
((1, ('m3', 'M6', 'm7')), (1, ('m3', 'P5', 'm7')))	1
((-1, ('P4', 'P5', 'm7')), (-3, ('M3', 'a5', 'm7')))	1
((-3, ('M3', 'a5', 'm7')), (2, ('m3', 'P4', 'M6')))	1
((3, ('M2', 'a4', 'M6')), (-4, ('a2', 'P5', 'm7')))	1
((-5, ('M3', 'P5')), (-4, ('M3', 'M6', 'm7')))	1
((-5, ('P4', 'P5')), (-5, ('M3', 'P5')))	1
((6, ('m3', 'd5', 'm6')), (1, ('m3', 'M6', 'm7')))	1
((1, ('m3', 'P4', 'm6')), (3, ('m3', 'm6')))	1
((0, ('m3', 'a4')), (3, ('M2', 'a4', 'M6')))	1
((0, ('M3', 'M6', 'm7')), (-5, ('P4', 'P5')))	1
((-3, ('a2', 'P4', 'M6')), (4, ('m3', 'd5', 'd7')))	1
((2, ('m3', 'd5', 'm7')), (-3, ('a2', 'P4', 'M6')))	1
((2, ('M3', 'P5', 'm7')), (-4, ('a4', 'M6')))	1
((4, ('M3', 'm6', 'm7')), (4, ('M3', 'd5', 'm6')))	1
((0, ('m3', 'P5')), (0, ('M3', 'a4')))	1
((4, ('P4', 'P5', 'm7')), (4, ('P4', 'P5', 'm7')))	1
((0, ('M3', 'a4')), (-3, ('M3', 'M6')))	1
((0, ('P4', 'P5')), (1, ('m3', 'P5')))	1
((-7, ('m3', 'M6')), (-10, ('M3', 'P5', 'a6')))	1
((-2, ('M2', 'a3')), (3, ('M3', 'P5')))	1
((-11, ('a2', 'a5', 'M6')), (-3, ('M3', 'M6')))	1
((-5, ('M3', 'P5')), (-5, ('P4', 'm6')))	1
((-2, ('M3', 'P5')), (-3, ('P4', 'P5')))	1
((-2, ('M2', 'a4', 'M6')), (1, ('M3', 'M6', 'm7')))	1
((4, ('M3', 'P5', 'm7')), (-1, ('M3', 'P5', 'M7')))	1
((-2, ('M3', 'P5', 'm7')), (5, ('d4', 'm6')))	1
((5, ('d4', 'm6')), (0, ('P4', 'P5')))	1
((2, ('m3', 'P5', 'm7')), (-1, ('m3', 'P5')))	1
((1, ('m3', 'a4', 'M6')), (2, ('m3', 'P5', 'm7')))	1
((6, ('d3', 'd5', 'm7')), (1, ('M3', 'P5')))	1
((-6, ('M2', 'a4', 'M6')), (-1, ('M3', 'm6', 'm7')))	1
((-4, ('a2', 'P5', 'm7')), (-6, ('M2', 'a4', 'M6')))	1
((0, ('M3', 'a4', 'm6')), (6, ('d3', 'd5', 'm7')))	1
((0, ('M2', 'P4', 'm6')), (-4, ('M3', 'P5', 'a6')))	1
((5, ('m2', 'd5')), (-2, ('M2', 'a3')))	1
((4, ('d4', 'P5', 'm7')), (-3, ('M3', 'M6')))	1
((-1, ('m3', 'P5', 'm7')), (0, ('M2', 'P4', 'm6')))	1
((0, ('M3', 'P5')), (5, ('M2', 'P4', 'm6')))	1
((-1, ('m3', 'a4', 'M6')), (4, ('d4', 'P5', 'm7')))	1
((2, ('m3', 'P5', 'm7')), (0, ('P4', 'M6')))	1
((9, ('m3', 'd5', 'd7')), (9, ('m3', 'P4', 'd7')))	1
((3, ('m3', 'P5', 'm7')), (9, ('m3', 'd5', 'd7')))	1
((1, ('M3', 'P5')), (2, ('M3', 'd5', 'm7')))	1
((-4, ('a4', 'P5')), (-4, ('M3', 'P5', 'M7')))	1
((4, ('m2', 'P5', 'm6')), (2, ('m3', 'P5', 'm7')))	1
((4, ('m3', 'P5')), (4, ('m2', 'P5', 'm6')))	1
((8, ('m3', 'd7')), (3, ('m3', 'm6')))	1
((-10, ('M3', 'P5', 'a6')), (1, ('M3', 'P5')))	1
((2, ('m3', 'd5', 'M6')), (8, ('m3', 'd7')))	1
((4, ('m2', 'P4', 'm6')), (2, ('m3', 'd5', 'M6')))	1
((5, ('m3', 'm6')), (0, ('P4', 'M6')))	1
((0, ('P4', 'M6')), (0, ('M2', 'P5')))	1
((-5, ('P4', 'm6')), (-7, ('m3', 'M6')))	1
((-4, ('M3', 'a4', 'a6')), (4, ('m3', 'd5', 'm7')))	1
((-2, ('m3', 'd5')), (-2, ('P4', 'M6')))	1
((2, ('m3', 'P5', 'm7')), (-3, ('M2', 'M3', 'a5')))	1
((-2, ('M2', 'P4', 'M6')), (-1, ('m3', 'P5', 'm7')))	1
((-3, ('M3', 'P5')), (1, ('m3', 'd5', 'm7')))	1
((0, ('m3', 'P5', 'm7')), (0, ('m3', 'a4')))	1
((-2, ('M2', 'a4', 'M6')), (-3, ('M3', 'P5')))	1
((-1, ('M2', 'P4', 'm6')), (0, ('m3', 'm6')))	1
((1, ('P4', 'm6')), (-4, ('M3', 'a5', 'a6')))	1
((8, ('d4', 'd5', 'd7')), (3, ('m3', 'P5')))	1
((-3, ('M3', 'P5')), (1, ('m3', 'M6')))	1
((0, ('M3', 'P5', 'm7')), (-2, ('P4', 'M6')))	1
((-6, ('m3', 'aa4', 'M6')), (0, ('m3', 'P5', 'm7')))	1
((-2, ('P4', 'M6')), (-3, ('P4', 'M6')))	1
((-1, ('m3', 'P5', 'm7')), (-4, ('M3', 'P5', 'M7')))	1
((-3, ('M3', 'P5')), (1, ('P4', 'd5', 'm7')))	1
((4, ('m3', 'm6')), (0, ('P4', 'P5', 'm7')))	1
((-6, ('M3', 'P5')), (-1, ('m3', 'P5')))	1
((-1, ('m3', 'P5')), (3, ('m3', 'P5')))	1
((6, ('M3', 'P5', 'm7')), (-1, ('m3', 'P5')))	1
((1, ('P4', 'd5', 'm7')), (0, ('M3', 'P5', 'm7')))	1
((5, ('m3', 'd5')), (6, ('M3', 'P5', 'm7')))	1
((-6, ('m3', 'P5', 'm7')), (-6, ('m3', 'aa4', 'M6')))	1
((2, ('P4', 'M6')), (-5, ('M2', 'a4', 'M6')))	1
((1, ('m3', 'd5', 'm6')), (-4, ('M3', 'P5', 'M7')))	1
((5, ('M3', 'P5', 'm7')), (2, ('M3', 'P5')))	1
((-4, ('a4', 'P5', 'M7')), (1, ('m3', 'd5', 'm6')))	1
((4, ('M2', 'a4', 'M6')), (5, ('M3', 'P5', 'm7')))	1
((-1, ('P4', 'M6')), (4, ('M2', 'a4', 'M6')))	1
((1, ('M3', 'P5')), (12, ('m3', 'P5')))	1
((-2, ('P4', 'M6')), (-4, ('a4', 'P5', 'M7')))	1
((-1, ('a4', 'M6')), (-1, ('P4', 'M6')))	1
((0, ('M3', 'P5', 'm7')), (4, ('m3', 'd5', 'm7')))	1
((-3, ('M2', 'M3', 'a5')), (3, ('m3', 'd5', 'm6')))	1
((0, ('P4', 'P5')), (1, ('P4', 'P5', 'm7')))	1
((3, ('m3', 'd5', 'm6')), (1, ('M3', 'm6')))	1
((-3, ('M3', 'M6')), (6, ('d5', 'd7')))	1
((0, ('m3', 'P5')), (6, ('d4', 'd7')))	1
((6, ('d5', 'd7')), (-1, ('m3', 'P5', 'M6')))	1
((-3, ('M3', 'P5', 'M6')), (-1, ('m3', 'P5', 'M6')))	1
((1, ('m3', 'P4', 'm6')), (-1, ('M2', 'a4', 'M6')))	1
((3, ('m3', 'P5', 'm7')), (10, ('m3', 'd5', 'd7')))	1
((8, ('m3', 'd5', 'm7')), (-1, ('M3', 'P5')))	1
((-3, ('M3', 'P5')), (8, ('m3', 'd5', 'm7')))	1
((-1, ('P4', 'P5')), (-1, ('m3', 'P5', 'M6')))	1
((0, ('m3', 'a4')), (0, ('m3', 'a4')))	1
((6, ('m3', 'd5', 'm7')), (-3, ('M3', 'P5')))	1
((3, ('m3', 'P5')), (6, ('d5', 'd7')))	1
((1, ('P4', 'm6')), (3, ('m3', 'P5')))	1
((-5, ('M3', 'P5')), (6, ('m3', 'd5', 'm7')))	1
((3, ('M3', 'P5', 'm7')), (-5, ('M3', 'P5')))	1
((-3, ('M3', 'a4', 'aa5')), (1, ('m3', 'P5', 'm7')))	1
((-3, ('M3', 'a4', 'a6')), (2, ('m3', 'P4', 'M6')))	1
((-5, ('M3', 'M6')), (-3, ('M3', 'a4', 'aa5')))	1
((3, ('m3', 'P5', 'm7')), (-5, ('M3', 'P5', 'a6')))	1
((5, ('m3', 'd5')), (1, ('M3', 'M6', 'm7')))	1
((2, ('M3', 'd5', 'M6', 'm7')), (1, ('P4', 'M6')))	1
((2, ('M3', 'P5', 'm7')), (2, ('M3', 'd5', 'M6', 'm7')))	1
((0, ('m3', 'P5', 'm7')), (-1, ('M3', 'M6')))	1
((1, ('P4', 'M6')), (-2, ('M2', 'P5')))	1
((4, ('m3', 'd5', 'd7')), (1, ('P4', 'M6')))	1
((0, ('P4', 'P5', 'm7')), (0, ('m3', 'P5', 'm7')))	1
((2, ('m3', 'm6')), (0, ('P4', 'P5', 'm7')))	1
((3, ('m3', 'd5', 'm6')), (1, ('M3', 'm6', 'm7')))	1
((-3, ('M3', 'M6')), (-2, ('P4', 'M6')))	1
((2, ('m3', 'P4', 'm6')), (1, ('m3', 'P4', 'M6')))	1
((5, ('m3', 'm6')), (-4, ('m3', 'a4', 'M6')))	1
((-4, ('M3', 'M6')), (-2, ('M2', 'P5')))	1
((1, ('m3', 'P5')), (-2, ('m3', 'P5', 'm7')))	1
((-3, ('M3', 'P5')), (-4, ('M3', 'P5', 'm7')))	1
((0, ('P4', 'P5', 'm7')), (0, ('m3', 'P5')))	1
((0, ('m3', 'P5')), (2, ('m3', 'P4')))	1
((0, ('m3', 'P5')), (-1, ('P4', 'M6')))	1
((-5, ('M3', 'P5')), (-2, ('m3', 'P5', 'M6')))	1
((1, ('M2', 'P5')), (1, ('M3', 'M6')))	1
((0, ('M3', 'P5', 'M7')), (4, ('m3', 'm6')))	1
((5, ('m3', 'd5', 'm6')), (-2, ('M3', 'M6')))	1
((-2, ('m3', 'P5', 'm7')), (2, ('M3', 'P5', 'm7')))	1
((-1, ('M3', 'P5', 'M7')), (4, ('m2', 'P4', 'm6')))	1
((4, ('m3', 'm6')), (5, ('m3', 'P5')))	1
((2, ('m3', 'M6')), (-3, ('M3', 'P5')))	1
((1, ('M3', 'm6')), (3, ('m3', 'd5')))	1
((2, ('M3', 'P5', 'm7')), (1, ('m3', 'd5')))	1
((2, ('m3', 'd5')), (2, ('m3', 'P5')))	1
((0, ('m3', 'm6')), (2, ('M3', 'P5')))	1
((0, ('M3', 'P5')), (-1, ('M2', 'P5')))	1
((-1, ('M3', 'P5', 'M7')), (5, ('m3', 'm6')))	1
((2, ('m3', 'P4')), (2, ('M2', 'P4')))	1
((2, ('m3', 'd5')), (2, ('M2', 'P4')))	1
((2, ('m3', 'P4', 'M6')), (0, ('M3', 'P5', 'M7')))	1
((1, ('M3', 'P5', 'm7')), (0, ('P4', 'P5', 'M7')))	1
((4, ('m3', 'P5')), (8, ('m3', 'm6')))	1
((8, ('m3', 'm6')), (-4, ('M3', 'P5')))	1
((2, ('m3', 'm6')), (7, ('m3', 'd7')))	1
((7, ('m3', 'd7')), (0, ('M3', 'M6')))	1
((5, ('m3', 'm7')), (-2, ('M3', 'M6')))	1
((1, ('m3', 'P5')), (-2, ('m3', 'a4', 'M6')))	1
((-4, ('m3', 'a4', 'M6')), (-2, ('M3', 'P5', 'm7')))	1
((-3, ('m3', 'P5')), (-4, ('m3', 'M6')))	1
((-1, ('m3', 'P5')), (-2, ('m3', 'm7')))	1
((2, ('M3', 'M6')), (0, ('m3', 'P5')))	1
((-1, ('m3', 'P5', 'M6')), (1, ('m3', 'P5', 'm7')))	1
((3, ('M3', 'P5')), (1, ('m3', 'M6')))	1
((1, ('a4', 'M6')), (2, ('M3', 'P5')))	1
((5, ('M3', 'P5')), (3, ('m3', 'M6')))	1
((2, ('P4', 'm6')), (-1, ('P4', 'P5')))	1
((-1, ('m3', 'P5')), (-4, ('M2', 'P5')))	1
((-1, ('m3', 'd5', 'M6')), (-4, ('a4', 'M6')))	1
((2, ('m3', 'P5')), (3, ('M3', 'P5', 'M7')))	1
((3, ('M3', 'P5', 'M7')), (1, ('M3', 'P5')))	1
((-4, ('M3', 'M6')), (-3, ('M2', 'a4', 'M6')))	1
((1, ('M3', 'M6')), (-2, ('M3', 'P5')))	1
((0, ('M3', 'P5')), (7, ('P4', 'm6')))	1
((7, ('P4', 'm6')), (5, ('m3', 'm6')))	1
((1, ('m3', 'M6')), (-2, ('M3', 'P5')))	1
((1, ('m3', 'P5')), (8, ('m3', 'm6')))	1
((2, ('m3', 'P5', 'M6')), (7, ('m3', 'd5', 'm6')))	1
((1, ('m3', 'P5')), (5, ('m3', 'd5', 'm6')))	1
((0, ('m3', 'P5')), (7, ('m3', 'm6')))	1
((1, ('M3', 'P5', 'm7')), (5, ('m2', 'P4', 'm6')))	1
((5, ('m3', 'm7')), (5, ('m3', 'd5', 'm6')))	1
((2, ('M3', 'P5')), (2, ('a4', 'M6')))	1
((4, ('P4', 'P5')), (1, ('M3', 'P5')))	1
((0, ('M3', 'P5', 'm7')), (2, ('P4', 'P5')))	1
((1, ('P4', 'm6')), (1, ('m3', 'd5')))	1
((-3, ('M3', 'P5')), (3, ('m3', 'P5', 'm6')))	1
((3, ('m3', 'P5', 'm6')), (2, ('m3', 'd5')))	1
((0, ('P4', 'M6')), (1, ('M2', 'M6')))	1
((-4, ('M3', 'M7')), (-7, ('M3', 'M6')))	1
((3, ('M3', 'm6')), (0, ('M3', 'P5')))	1
((2, ('M3', 'm6')), (6, ('m3', 'm6')))	1
((-3, ('M3', 'a5')), (-1, ('M3', 'P5')))	1
((6, ('d3', 'd5')), (1, ('M3', 'P5')))	1
((-3, ('M2', 'P4', 'M6')), (2, ('P4', 'M6')))	1
((-5, ('M3', 'P5', 'M7')), (1, ('m3', 'd5')))	1
((-4, ('M3', 'P5', 'M6')), (-1, ('m3', 'a4', 'M6')))	1
((-3, ('M3', 'P5')), (1, ('m3', 'P5', 'm6')))	1
((0, ('m3', 'P5')), (-1, ('m3', 'aa4')))	1
((-1, ('m3', 'aa4')), (-4, ('M3', 'M6')))	1
((-2, ('P4', 'P5')), (-4, ('a4', 'M6')))	1
((0, ('M3', 'P5', 'm7')), (1, ('m3', 'P5')))	1
((3, ('P4', 'P5')), (1, ('m3', 'P5')))	1
((2, ('m3', 'P4', 'M6')), (0, ('m3', 'P4', 'm6')))	1
((1, ('M3', 'P5', 'm7')), (0, ('m3', 'P4', 'm6')))	1
((2, ('m3', 'm7')), (2, ('M2', 'M6')))	1
((2, ('M2', 'M6')), (2, ('m3', 'M6')))	1
((-1, ('P4', 'm6')), (5, ('m3', 'd5', 'm6')))	1
((5, ('m3', 'd5', 'm6')), (-1, ('m3', 'P5')))	1
((-1, ('m3', 'a4', 'M6')), (-1, ('M2', 'P5')))	1
((0, ('m3', 'P5')), (6, ('d3', 'd5')))	1
((0, ('M3', 'P5')), (4, ('d4', 'm6')))	1
((-1, ('M3', 'a4', 'a6')), (0, ('M3', 'P5')))	1
((1, ('M3', 'P4', 'm6')), (1, ('M3', 'P5', 'm7')))	1
((-5, ('a4', 'M6')), (-3, ('M3', 'P5')))	1
((-5, ('a4', 'M6')), (0, ('m3', 'P5', 'm7')))	1
((-5, ('a4', 'M6')), (-2, ('a4', 'M6')))	1
((3, ('m3', 'P5', 'm7')), (-2, ('M3', 'M6')))	1
((1, ('m3', 'P4', 'M6')), (1, ('M3', 'P4', 'M6')))	1
((0, ('m3', 'P5', 'm7')), (-2, ('P4', 'm6')))	1
((-2, ('P4', 'm6')), (0, ('m3', 'P5', 'm7')))	1
((0, ('m3', 'P5', 'm7')), (-3, ('m3', 'P5')))	1
((-3, ('m3', 'P5')), (0, ('m3', 'P5', 'm7')))	1
((0, ('M3', 'P5', 'm7')), (0, ('M3', 'd6', 'm7')))	1
((0, ('M3', 'd6', 'm7')), (0, ('M3', 'P5', 'm7')))	1
((2, ('m3', 'P4', 'M6')), (1, ('M3', 'd5', 'm6', 'm7')))	1
((1, ('M3', 'd5', 'm6', 'm7')), (0, ('m3', 'P5', 'm7')))	1
((-2, ('M3', 'M6')), (1, ('m3', 'P4', 'm6')))	1
((1, ('P4', 'P5', 'm7')), (3, ('m3', 'P5')))	1
((1, ('P4', 'P5', 'm7')), (0, ('M3', 'P5', 'M7')))	1
((5, ('m2', 'P4', 'm6')), (5, ('m2', 'P4', 'm6')))	1
((-4, ('a2', 'a5')), (1, ('M3', 'P5', 'm7')))	1
((1, ('m3', 'm6')), (2, ('P4', 'm6')))	1
((0, ('m3', 'P5', 'm7')), (-5, ('a4', 'M6')))	1
((6, ('m3', 'd5')), (-1, ('M3', 'P5', 'M7')))	1
((-5, ('a4', 'M6')), (-2, ('P4', 'M6')))	1
((-2, ('m3', 'P5', 'm7')), (-2, ('m3', 'P5')))	1
((-2, ('M3', 'P5')), (0, ('M3', 'P5', 'M7')))	1
((0, ('M3', 'P5', 'm7')), (-1, ('m3', 'P4', 'M6')))	1
((-1, ('m3', 'P4', 'M6')), (6, ('M2', 'a4', 'M6')))	1
((6, ('M2', 'a4', 'M6')), (6, ('m3', 'd5', 'm7')))	1
((-2, ('M3', 'P5', 'm7')), (9, ('m3', 'P4', 'M6')))	1
((9, ('m3', 'P4', 'M6')), (6, ('m3', 'd5', 'm7')))	1
((6, ('m3', 'd5', 'm7')), (8, ('M2', 'P4', 'm6')))	1
((8, ('M2', 'P4', 'm6')), (2, ('m3', 'P4', 'M6')))	1
((7, ('M3', 'P5')), (0, ('M3', 'P5', 'm7')))	1
((0, ('M3', 'P5')), (8, ('M3', 'P5')))	1
((8, ('M3', 'P5')), (6, ('M3', 'P5', 'm7')))	1
((6, ('M3', 'P5', 'm7')), (4, ('m3', 'm6')))	1
((1, ('M3', 'M6')), (1, ('M3', 'm6')))	1
((1, ('M3', 'm6')), (9, ('dd4', 'dd5', 'd7')))	1
((9, ('dd4', 'dd5', 'd7')), (-3, ('m3', 'P4', 'aa5')))	1
((-3, ('m3', 'P4', 'aa5')), (-3, ('m3', 'P4', 'M6')))	1
((-1, ('M3', 'P5', 'M7')), (6, ('m3', 'd5')))	1
((9, ('m3', 'd5', 'm6')), (-1, ('M3', 'P5', 'M7')))	1
((0, ('m3', 'P5', 'M7')), (1, ('M3', 'P4', 'm6')))	1
((-4, ('m3', 'P5', 'm7')), (0, ('M3', 'P5')))	1
((-6, ('M3', 'P5', 'm7')), (0, ('M3', 'P5')))	1
((6, ('m3', 'd5', 'm7')), (-1, ('M3', 'P5', 'M7')))	1
((9, ('d3', 'd5', 'm6')), (-1, ('M3', 'P5', 'M7')))	1
((9, ('d3', 'd5', 'm6')), (2, ('m3', 'P5', 'm7')))	1
((2, ('m3', 'P5', 'm7')), (1, ('M2', 'P4', 'P5')))	1
((-1, ('M3', 'P5', 'M6')), (4, ('m2', 'P4')))	1
((2, ('m3', 'P5', 'm7')), (0, ('M3', 'm6')))	1
((-5, ('M3', 'P5')), (1, ('m3', 'P5', 'm7')))	1
((1, ('m3', 'P5', 'm7')), (-4, ('m3', 'P4', 'M6')))	1
((-4, ('m3', 'P4', 'M6')), (-5, ('M3', 'P5', 'm7')))	1
((-4, ('m3', 'P4', 'M6')), (-1, ('m3', 'd5', 'm6')))	1
((-1, ('m3', 'd5', 'm6')), (1, ('M2', 'a4', 'M6')))	1
((1, ('m3', 'P5', 'm7')), (1, ('M2', 'a4', 'M6')))	1
((-4, ('P4', 'P5', 'm7')), (6, ('M3', 'M6', 'm7')))	1
((6, ('M3', 'M6', 'm7')), (4, ('M3', 'P5', 'm7')))	1
((4, ('M3', 'P5', 'm7')), (2, ('M3', 'M6', 'm7')))	1
((2, ('M3', 'M6', 'm7')), (0, ('m3', 'P5', 'M7')))	1
((0, ('M3', 'P5')), (-6, ('M3', 'P5', 'm7')))	1
((1, ('m3', 'm6', 'M7')), (0, ('M3', 'P5')))	1
((9, ('m3', 'd5', 'm6')), (2, ('m3', 'P5', 'm7')))	1
((0, ('M3', 'P5')), (1, ('m3', 'm6', 'M7')))	1
((0, ('M3', 'P5', 'm7')), (-1, ('a2', 'M6')))	1
((1, ('P4', 'm6')), (5, ('m2', 'd4', 'm6')))	1
((-1, ('a4', 'm6')), (4, ('m3', 'P5', 'm6')))	1
((4, ('m3', 'P5', 'm6')), (0, ('m3', 'P5')))	1
((0, ('m3', 'P5')), (5, ('d3', 'd5', 'd7')))	1
((5, ('d3', 'd5', 'd7')), (-1, ('M2', 'P4', 'm6')))	1
((-1, ('M2', 'P4', 'm6')), (0, ('m3', 'P5', 'm7')))	1
((0, ('m3', 'P5', 'm7')), (6, ('d3', 'd5', 'd7')))	1
((0, ('M3', 'P5', 'm7')), (-4, ('M2', 'a4', 'M6')))	1
((-4, ('M2', 'a4', 'M6')), (0, ('m3', 'P5', 'm7')))	1
((0, ('M3', 'P5', 'm7')), (0, ('m3', 'P5')))	1
((0, ('m3', 'P5')), (5, ('m2', 'd4', 'm6')))	1
((1, ('P4', 'M6')), (1, ('P4', 'a4', 'm7')))	1
((1, ('P4', 'a4', 'm7')), (1, ('M3', 'P5', 'm7')))	1
((4, ('m3', 'm6')), (1, ('a2', 'a4')))	1
((1, ('a2', 'a4')), (1, ('M3', 'a5', 'M7')))	1
((1, ('M3', 'a5', 'M7')), (0, ('M3', 'P5')))	1
((-7, ('M3', 'M6')), (1, ('m3', 'm7')))	1
((0, ('M3', 'P5')), (-2, ('a2', 'M6')))	1
((5, ('m3', 'd5', 'd7')), (1, ('m3', 'M6')))	1
((2, ('m3', 'd5', 'M6')), (2, ('P4', 'M6')))	1
((-2, ('P4', 'M6')), (-4, ('m3', 'P5', 'M6')))	1
((-4, ('m3', 'P5', 'M6')), (1, ('m3', 'm6')))	1
((1, ('m3', 'm6')), (-4, ('m3', 'P5', 'M6')))	1
((-4, ('m3', 'P5', 'M6')), (-2, ('P4', 'M6')))	1
((0, ('m3', 'P5')), (1, ('m3', 'd5', 'd7')))	1
((-4, ('M3', 'P5')), (-4, ('M3', 'm6')))	1
((-4, ('M3', 'm6')), (-4, ('M3', 'P5')))	1
((4, ('M3', 'm6')), (-1, ('a2', 'aa4', 'M6')))	1
((-1, ('a2', 'aa4', 'M6')), (-1, ('M3', 'P5')))	1
((2, ('m3', 'P5', 'M6')), (-1, ('m3', 'a4', 'M6')))	1
((6, ('m3', 'm6')), (-3, ('M3', 'a6')))	1
((2, ('P4', 'M6')), (-4, ('M3', 'M6')))	1
((9, ('m3', 'd5')), (4, ('M3', 'P5', 'm7')))	1
((4, ('M3', 'P5', 'm7')), (3, ('M2', 'a4', 'M6')))	1
((9, ('m3', 'd5', 'm6')), (4, ('M3', 'P5', 'm7')))	1
((4, ('M3', 'm6')), (-1, ('a2', 'a4', 'P5')))	1
((4, ('M3', 'm6')), (-1, ('a2', 'aa4')))	1
((-4, ('M3', 'P5', 'M6')), (-2, ('P4', 'M6')))	1
((-2, ('M2', 'P4', 'M6')), (0, ('m3', 'P5')))	1
((1, ('M3', 'P5')), (-2, ('m3', 'd5', 'd7')))	1
((3, ('m3', 'm6')), (-2, ('M2', 'P4', 'M6')))	1
((8, ('m3', 'm6')), (-3, ('m3', 'd5', 'M6')))	1
((5, ('m3', 'd5', 'm6')), (-7, ('a2', 'a4', 'M6')))	1
((-7, ('a2', 'a4', 'M6')), (-4, ('m3', 'a4', 'M6')))	1
((-4, ('m3', 'a4', 'M6')), (1, ('M3', 'P5', 'm7')))	1
((1, ('M3', 'P5', 'm7')), (-4, ('m3', 'a4', 'M6')))	1
((-4, ('m3', 'a4', 'M6')), (0, ('m3', 'P4', 'P5')))	1
((2, ('m3', 'P4', 'M6')), (-2, ('m3', 'd5', 'd7')))	1
((-2, ('m3', 'd5', 'd7')), (2, ('m3', 'P4', 'M6')))	1
((-1, ('m3', 'a4', 'M6')), (2, ('m3', 'd5', 'd7')))	1
((2, ('m3', 'd5', 'd7')), (-1, ('m3', 'a5')))	1
((-4, ('M3', 'P5')), (-4, ('P4', 'm6')))	1
((-4, ('M3', 'P5')), (4, ('d4', 'M6')))	1
((1, ('P4', 'm6', 'm7')), (1, ('P4', 'P5')))	1
((1, ('P4', 'M6', 'm7')), (1, ('P4', 'P5')))	1
((3, ('P4', 'm6')), (1, ('m3', 'P5', 'm7')))	1
((1, ('m3', 'P5', 'm7')), (3, ('P4', 'm6')))	1
((-6, ('M3', 'M6')), (-2, ('P4', 'P5')))	1
((1, ('P4', 'm6')), (1, ('m3', 'd5', 'm6')))	1
((-2, ('m3', 'd5', 'd7')), (5, ('m3', 'm6')))	1
((-2, ('m3', 'd5', 'd7')), (-2, ('m3', 'd5', 'd7')))	1
((-2, ('P4', 'm6', 'm7')), (2, ('m3', 'P5', 'M7')))	1
((-6, ('M3', 'P5', 'm7')), (-2, ('P4', 'd5', 'm6')))	1
((-2, ('P4', 'd5', 'm6')), (-3, ('P4', 'M6')))	1
((-6, ('M3', 'P5')), (4, ('M3', 'P5', 'm7')))	1
((-3, ('M3', 'P5', 'm7')), (2, ('M3', 'm6', 'm7')))	1
((2, ('M3', 'm6', 'm7')), (-5, ('M3', 'M6', 'm7')))	1
((-5, ('M3', 'M6', 'm7')), (0, ('m3', 'P4', 'M6')))	1
((0, ('m3', 'P4', 'M6')), (4, ('M3', 'a5', 'm7')))	1
((4, ('M3', 'a5', 'm7')), (-3, ('M3', 'P5', 'm7')))	1
((1, ('M3', 'm6', 'm7')), (1, ('M3', 'M6', 'm7')))	1
((1, ('M3', 'm6', 'm7')), (-5, ('M3', 'M6', 'm7')))	1
((-5, ('M3', 'M6', 'm7')), (0, ('M3', 'P5', 'm7')))	1
((-3, ('M3', 'M6', 'm7')), (2, ('M3', 'M6', 'm7')))	1
((2, ('M3', 'M6', 'm7')), (-5, ('m3', 'P4', 'm6')))	1
((-5, ('m3', 'P4', 'm6')), (3, ('m3', 'P4', 'm6')))	1
((3, ('m3', 'P4', 'm6')), (-6, ('P4', 'M6')))	1
((-6, ('P4', 'M6')), (-5, ('M3', 'aa4', 'm7')))	1
((-5, ('M3', 'aa4', 'm7')), (0, ('M3', 'P5')))	1
((2, ('m3', 'P5', 'M7')), (-6, ('M3', 'P5', 'm7')))	1
((-4, ('M3', 'M6', 'm7')), (-2, ('P4', 'm6', 'm7')))	1
((-4, ('M3', 'a4', 'M6')), (1, ('M3', 'M6')))	1
((-5, ('M3', 'P5', 'M6')), (-3, ('M3', 'P5', 'm7')))	1
((5, ('m3', 'P4', 'M6')), (2, ('M2', 'a4', 'M6')))	1
((3, ('m3', 'P4')), (1, ('a2', 'a4')))	1
((-4, ('a2', 'a4', 'M6')), (-4, ('M3', 'a4', 'a6')))	1
((-2, ('P4', 'm6')), (0, ('m3', 'd5', 'M6')))	1
((0, ('m3', 'd5', 'M6')), (7, ('P4', 'm6')))	1
((7, ('P4', 'm6')), (2, ('M3', 'P5', 'm7')))	1
((-4, ('M3', 'P5')), (1, ('M3', 'm6', 'm7')))	1
((0, ('P4', 'M6')), (-3, ('M3', 'a4', 'a6')))	1
((-3, ('M3', 'a4', 'a6')), (-5, ('M3', 'aa4', 'M7')))	1
((-5, ('M3', 'aa4', 'M7')), (5, ('d3', 'd4', 'm6')))	1
